Timestamp,Price,Moving_Avg,Returns,Volatility,z_score,Anomaly_Z,LogPrice
2024-05-16,66220.51831432826,,,,-0.7958306486881691,0,11.10074563822748
2024-05-17,65260.879803346186,,-0.01449155843853367,,-0.8557334470712897,0,11.086148051566491
2024-05-18,67053.12326509564,,0.027462753599861056,,-0.7438575714014264,0,11.113240468759866
2024-05-19,66912.61861403697,,-0.002095422915695977,,-0.7526281883451387,0,11.111142847373886
2024-05-20,66252.71259591613,66339.97051854464,-0.009862205840833749,,-0.7938210090822365,0,11.101231687854268
2024-05-21,71430.29700215145,67381.92625610928,0.07814901765327065,,-0.4706245228544175,0,11.176477386087335
2024-05-22,70189.8358177002,68367.71745898007,-0.01736603705307138,,-0.5480569053441803,0,11.158958790609326
2024-05-23,69181.20085677762,68793.33297731647,-0.014370100017646936,,-0.6110181725451796,0,11.144484440779035
2024-05-24,67906.46534276106,68992.10232306129,-0.01842603912955454,,-0.6905900359229759,0,11.125886527611149
2024-05-25,68539.91646552991,69449.54309698404,0.009328288839236087,,-0.6510485893693658,0,11.135171576658232
2024-05-26,69268.44558973772,69017.1728145013,0.010629267757777283,,-0.6055721597094197,0,11.145744750888126
2024-05-27,68508.83110875699,68680.97187271266,-0.010966241186929016,,-0.6529890073894076,0,11.134717937236402
2024-05-28,69367.23871755725,68718.17944486858,0.012529882569993767,,-0.5994052700424398,0,11.147169970448818
2024-05-29,68316.63588049631,68800.21355241563,-0.015145519073329172,,-0.6649862666458282,0,11.131908586625038
2024-05-30,67577.26558995963,68607.68337730158,-0.010822697590525898,,-0.71113942633839,0,11.121026897626058
2024-05-31,68372.49288434093,68428.49283622223,0.011767674933853112,,-0.6614995465931228,0,11.132725871912589
2024-06-01,67474.95483698409,68221.71758186763,-0.013127180383419867,,-0.7175258940945108,0,11.119511768556364
2024-06-02,67704.32641811523,67889.13512197924,0.003399358794463625,,-0.7032080031156931,0,11.122905362591352
2024-06-03,67740.01690222476,67773.81132632493,0.0005271521924479217,,-0.7009801226697314,0,11.123432375887893
2024-06-04,68808.29368590549,68020.0169455141,0.01577024678370953,,-0.6342958784904242,0,11.139079564416392
2024-06-05,70600.01116676089,68465.52060199808,0.026039266269763717,,-0.522452835733256,0,11.164785581650738
2024-06-06,71184.59943059199,69207.44952071967,0.008280285713415436,,-0.48596151894608813,0,11.173031773871685
2024-06-07,70759.58819301432,69818.50187569948,-0.005970550385579809,,-0.512491678150642,0,11.167043328485931
2024-06-08,69325.36238847222,70135.57097294898,-0.02026899592221898,,-0.60201928487146,0,11.146566097855418
2024-06-09,69315.1041233966,70236.9330604472,-0.0001479727580526724,,-0.6026596288942908,0,11.146418114148316
2024-06-10,69654.16073760358,70047.76297461575,0.004891525714271205,,-0.5814949509776872,0,11.15129771522133
2024-06-11,69493.17760915738,69709.47861032882,-0.002311177490927574,,-0.5915438806277987,0,11.148983862837477
2024-06-12,67329.15232724321,69023.39143717459,-0.03114011125070515,,-0.7266272153157933,0,11.117348591637457
2024-06-13,68224.51967501991,68803.22289448415,0.013298360618367866,,-0.6707363677738287,0,11.130559305244242
2024-06-14,66700.31696564378,68280.26546293357,-0.02234098116976857,,-0.7658805356556757,0,11.107964984001025
2024-06-15,66011.07873713733,67551.64906284033,-0.010333357618997008,0.020670139939055584,-0.8089043390646371,0,11.097577866575303
2024-06-16,66190.4874891135,66891.11103883156,0.0027178582051445854,0.02048934378939047,-0.7977052404719834,0,11.100292038082275
2024-06-17,66615.53782131766,66748.38813764643,0.006421622627784229,0.019891992684724337,-0.7711726408927446,0,11.106693129938508
2024-06-18,66460.38897909952,66395.56199846235,-0.0023290188339287754,0.019892874149235167,-0.7808573812490449,0,11.104361394721725
2024-06-19,65109.314812190474,66077.36156777169,-0.02032901383309582,0.020161074184790254,-0.865194475368131,0,11.08382290263369
2024-06-20,64907.07460760319,65856.56074186487,-0.0031061639209482017,0.013654373419704286,-0.8778187646830267,0,11.080711904572572
2024-06-21,64844.67441797763,65587.3981276377,-0.0009613773229312228,0.013389123213866636,-0.8817139251371261,0,11.079750064830067
2024-06-22,64071.624284709695,65078.6154203161,-0.011921567040108605,0.01332187849499126,-0.929969456509875,0,11.067756866031862
2024-06-23,64239.90348813148,64634.518322122494,0.0026264232458665937,0.013002959367722227,-0.9194650894182175,0,11.070379846255435
2024-06-24,63221.35738437477,64256.92683655935,-0.015855349221452153,0.01307470961464546,-0.9830450324895004,0,11.054397456345422
2024-06-25,60363.23497529626,63348.158910097976,-0.045208178491037865,0.014963570717815448,-1.1614554739901195,0,11.008135506132458
2024-06-26,61770.413870095355,62733.30680052152,0.02331185357072041,0.01573883464686309,-1.0736161963251707,0,11.031179788847123
2024-06-27,60749.89619402014,62068.9611823836,-0.016521140334616935,0.01562300374999528,-1.1373192093834765,0,11.014520652460925
2024-06-28,61562.64532550036,61533.50954985739,0.013378609386993867,0.015806649034287766,-1.0865855770813595,0,11.027810558528923
2024-06-29,60317.09697945116,60952.657468872654,-0.02023220963725003,0.01605166080380377,-1.1643355116618903,0,11.007370874525208
2024-06-30,60864.44316193428,61052.89910620026,0.009074478214188275,0.015969748589520338,-1.1301689295168045,0,11.016404427061754
2024-07-01,62734.39383945474,61245.69510007213,0.030723203571341617,0.01705158538478104,-1.0134423943267428,0,11.046665122308413
2024-07-02,62819.82226921849,61659.68031511181,0.0013617479110801245,0.017032214197503493,-1.008109759229504,0,11.04802594388167
2024-07-03,62042.5650371006,61755.664257431854,-0.012372802151316309,0.017119637841035408,-1.0566279071930869,0,11.035575961327813
