Timestamp,Price
2025-03-30 00:00:00,82679.17255385047
2025-03-31 00:00:00,82356.38111183756
2025-04-01 00:00:00,82514.09365397849
2025-04-02 00:00:00,85237.5876052852
2025-04-03 00:00:00,82526.4221526433
2025-04-04 00:00:00,83163.98757387721
2025-04-05 00:00:00,83852.00765399594
2025-04-06 00:00:00,83595.88550177493
2025-04-07 00:00:00,78211.48358199988
2025-04-08 00:00:00,79179.29226757778
2025-04-09 00:00:00,76329.090356324
2025-04-10 00:00:00,82622.17029546302
2025-04-11 00:00:00,79596.35732250768
2025-04-12 00:00:00,83439.28818043756
2025-04-13 00:00:00,85305.09728392666
2025-04-14 00:00:00,83600.82010054543
2025-04-15 00:00:00,84523.4524914945
2025-04-16 00:00:00,83656.49248858042
2025-04-17 00:00:00,84105.77942167096
2025-04-18 00:00:00,84930.90857600998
2025-04-19 00:00:00,84433.75017215389
2025-04-20 00:00:00,85126.66244301842
2025-04-21 00:00:00,85073.16544858096
2025-04-22 00:00:00,87452.04699068287
2025-04-23 00:00:00,93576.16588573981
2025-04-24 00:00:00,93605.45230873208
2025-04-25 00:00:00,93872.81422867288
2025-04-26 00:00:00,94773.11200643536
2025-04-27 00:00:00,94644.06637120107
2025-04-28 00:00:00,93809.33781968223
2025-04-28 19:50:18,94861.10895406813
