Timestamp,Price,Moving_Avg
2025-04-01 00:00:00,82514.09365397849,
2025-04-02 00:00:00,85237.5876052852,
2025-04-03 00:00:00,82526.4221526433,
2025-04-04 00:00:00,83163.98757387721,
2025-04-05 00:00:00,83852.00765399594,83458.81972795603
2025-04-06 00:00:00,83595.88550177493,83675.17809751532
2025-04-07 00:00:00,78211.48358199988,82269.95729285825
2025-04-08 00:00:00,79179.29226757778,81600.53131584515
2025-04-09 00:00:00,76329.090356324,80233.55187233452
2025-04-10 00:00:00,82622.17029546302,79987.58440062792
2025-04-11 00:00:00,79596.35732250768,79187.67876477446
2025-04-12 00:00:00,83439.28818043756,80233.23968446201
2025-04-13 00:00:00,85305.09728392666,81458.40068773179
2025-04-14 00:00:00,83600.82010054543,82912.74663657606
2025-04-15 00:00:00,84523.4524914945,83293.00307578237
2025-04-16 00:00:00,83656.49248858042,84105.03010899693
2025-04-17 00:00:00,84105.77942167096,84238.32835724359
2025-04-18 00:00:00,84930.90857600998,84163.49061566025
2025-04-19 00:00:00,84433.75017215389,84330.07662998195
2025-04-20 00:00:00,85126.66244301842,84450.71862028675
2025-04-21 00:00:00,85073.16544858096,84734.05321228683
2025-04-22 00:00:00,87452.04699068287,85403.30672608923
2025-04-23 00:00:00,93576.1658857398,87132.35818803518
2025-04-24 00:00:00,93605.45230873208,88966.69861535083
2025-04-25 00:00:00,93872.81422867288,90715.92897248172
2025-04-26 00:00:00,94773.11200643536,92655.9182840526
2025-04-27 00:00:00,94644.06637120109,94094.32216015624
2025-04-28 00:00:00,93809.33781968225,94140.95654694473
2025-04-29 00:00:00,95030.60645474444,94425.98737614721
2025-04-30 00:00:00,94256.35946318062,94502.69642304875
2025-04-30 02:37:57,94572.08524186104,94462.4910701339
